artist,genres
Taylor Swift,Pop Rock/Country Pop/Singer-Songwriter
Weezer,Power Pop/Alternative Rock/Pop Rock
Elliott Smith,Singer-Songwriter/Indie Pop/Indie Folk
Alex G,Slacker Rock/Indie Folk/Singer-Songwriter
Fleetwood Mac,Pop Rock/Blues Rock/British Blues
David Bowie,Art Rock/Glam Rock/Pop Rock
The Rolling Stones,Rock/Blues Rock/British Rhythm & Blues
The Beatles,Pop Rock/Merseybeat/Psychedelic Pop
Mitski,Singer-Songwriter/Indie Rock/Noise Pop
The 1975,Pop Rock/Synthpop/New Wave
John Prine,Singer-Songwriter/Country/Contemporary Folk
Talking Heads,New Wave/Post-Punk/Art Punk
Beach House,Dream Pop/Indie Pop/Neo-Psychedelia
Phoebe Bridgers,Singer-Songwriter/Indie Folk/Christmas Music
Rina Sawayama,Dance-Pop/Contemporary R&B/Future House
Arctic Monkeys,Indie Rock/Garage Rock Revival/Post-Punk Revival
Frank Ocean,Alternative R&B/Neo-Soul/Art Pop
The Strokes,Indie Rock/Garage Rock Revival/Post-Punk Revival
Queen,Pop Rock/Hard Rock/Piano Rock
Lana Del Rey,Art Pop/Chamber Pop/Film Soundtrack
Björk,Art Pop/Glitch Pop/Electronic
Cocteau Twins,Dream Pop/Ethereal Wave/Christmas Music
Beyoncé,Contemporary R&B/Pop/Dance-Pop
Elton John,Piano Rock/Pop Rock/Pop
Pink Floyd,Art Rock/Psychedelic Rock/Progressive Rock
Lorde,Synthpop/Alt-Pop/Alternative R&B
Harry Styles,Pop Rock/Piano Rock/Indie Pop
Omar Apollo,Neo-Soul/Alternative R&B
The Jimi Hendrix Experience,Not Found
Stevie Wonder,Soul/Pop Soul/Funk
Radiohead,Alternative Rock/Art Rock/Art Pop
Lady Gaga,Dance-Pop/Electropop/Euro House
Vampire Weekend,Indie Pop/Indie Rock/Indietronica
ABBA,Europop/Pop/Euro-Disco
The Cure,Post-Punk/Gothic Rock/New Wave
Gorillaz,Trip Hop/Electropop/Art Pop
Tame Impala,Neo-Psychedelia/Psychedelic Rock/Psychedelic Pop
Steve Lacy,Neo-Soul/Bedroom Pop/Psychedelic Soul
Eagles,Country Rock/Pop Rock/Soft Rock
BTS,K-Pop/Dance-Pop/Pop Rap
Grimes,Electropop/Synthpop/Dancefloor Drum and Bass
Fiona Apple,Singer-Songwriter/Piano Rock/Art Pop
Big Thief,Indie Folk/Art Rock/Neo-Psychedelia
The Cranberries,Alternative Rock/Pop Rock/Dream Pop
The Smashing Pumpkins,Alternative Rock/Dream Pop/Alternative Metal
The Killers,Pop Rock/Alternative Rock/Post-Punk Revival
The Smiths,Jangle Pop/Indie Pop/Indie Rock
Charlie Puth,Dance-Pop/Pop Soul/Funktronica
SEVENTEEN,K-Pop/Dance-Pop/Pop Rap
The Mermen,Surf Rock/Psychedelic Rock/Christmas Music
Charli XCX,Electropop/Bubblegum Bass/Hyperpop
Nirvana,Grunge/Alternative Rock/Acoustic Rock
Billy Joel,Piano Rock/Pop Rock/Singer-Songwriter
Cage the Elephant,Alternative Rock/Indie Rock/Neo-Psychedelia
Electric Light Orchestra,Pop Rock/Symphonic Rock/Progressive Rock
MGMT,Indietronica/Neo-Psychedelia/Indie Pop
Thelonious Monk,Jazz/Bebop/Stride
Declan McKenna,Indie Rock/Singer-Songwriter/Indie Pop
TWICE,K-Pop/Dance-Pop/Electropop
Bread,Soft Rock/Pop Rock/Baroque Pop
Led Zeppelin,Hard Rock/Blues Rock/Folk Rock
Mamalarky,Indie Rock
Arca,Post-Rock
SZA,Alternative R&B/Neo-Soul/Synthpop
Mazzy Star,Dream Pop/Alt-Country/Paisley Underground
